Entity,Code,Day,Monthly concentration of atmospheric methane,Rolling yearly average of the concentration of atmospheric methane
World,OWID_WRL,1989-07-15,1698.2,1700.0758
World,OWID_WRL,1989-08-15,1701.98,1701.1208
World,OWID_WRL,1989-09-15,1707.19,1702.0433
World,OWID_WRL,1989-10-15,1710.52,1702.825
World,OWID_WRL,1989-11-15,1713.12,1703.6808
World,OWID_WRL,1989-12-15,1713.23,1704.6233
World,OWID_WRL,1990-01-15,1712.14,1705.5908
World,OWID_WRL,1990-02-15,1713.54,1706.6292
World,OWID_WRL,1990-03-15,1714.42,1707.625
World,OWID_WRL,1990-04-15,1712.55,1708.3726
World,OWID_WRL,1990-05-15,1710.65,1708.9791
World,OWID_WRL,1990-06-15,1708.47,1709.6675
World,OWID_WRL,1990-07-15,1706.56,1710.3641
World,OWID_WRL,1990-08-15,1710.22,1711.0508
World,OWID_WRL,1990-09-15,1717.59,1711.9175
World,OWID_WRL,1990-10-15,1722.01,1712.875
World,OWID_WRL,1990-11-15,1723.47,1713.7375
World,OWID_WRL,1990-12-15,1723.29,1714.5758
World,OWID_WRL,1991-01-15,1721.57,1715.3617
World,OWID_WRL,1991-02-15,1721.25,1716.0042
World,OWID_WRL,1991-03-15,1722.06,1716.6409
World,OWID_WRL,1991-04-15,1722.37,1717.4592
World,OWID_WRL,1991-05-15,1722.07,1718.4109
World,OWID_WRL,1991-06-15,1718.88,1719.2783
World,OWID_WRL,1991-07-15,1715.95,1720.0608
World,OWID_WRL,1991-08-15,1719.12,1720.8025
World,OWID_WRL,1991-09-15,1726.05,1721.5074
World,OWID_WRL,1991-10-15,1732.71,1722.3992
World,OWID_WRL,1991-11-15,1737.47,1723.5658
World,OWID_WRL,1991-12-15,1739.58,1724.9233
World,OWID_WRL,1992-01-15,1738.93,1726.37
World,OWID_WRL,1992-02-15,1737.38,1727.7141
World,OWID_WRL,1992-03-15,1736.92,1728.9525
World,OWID_WRL,1992-04-15,1736.64,1730.1416
World,OWID_WRL,1992-05-15,1734.97,1731.2167
World,OWID_WRL,1992-06-15,1731.58,1732.275
World,OWID_WRL,1992-07-15,1728.81,1733.3467
World,OWID_WRL,1992-08-15,1730.33,1734.2809
World,OWID_WRL,1992-09-15,1734.61,1734.9941
World,OWID_WRL,1992-10-15,1737.67,1735.4075
World,OWID_WRL,1992-11-15,1739.23,1735.5542
World,OWID_WRL,1992-12-15,1738.56,1735.4692
World,OWID_WRL,1993-01-15,1735.77,1735.2058
World,OWID_WRL,1993-02-15,1734.37,1734.955
World,OWID_WRL,1993-03-15,1735.39,1734.8275
World,OWID_WRL,1993-04-15,1736.58,1734.8225
World,OWID_WRL,1993-05-15,1735,1734.825
World,OWID_WRL,1993-06-15,1730.89,1734.7675
World,OWID_WRL,1993-07-15,1728.01,1734.7008
World,OWID_WRL,1993-08-15,1731.14,1734.7683
World,OWID_WRL,1993-09-15,1738.45,1735.0884
World,OWID_WRL,1993-10-15,1743.38,1735.5642
World,OWID_WRL,1993-11-15,1745.22,1736.0634
World,OWID_WRL,1993-12-15,1744.29,1736.5408
World,OWID_WRL,1994-01-15,1741.42,1737.0117
World,OWID_WRL,1994-02-15,1740.89,1737.555
World,OWID_WRL,1994-03-15,1741.96,1738.1025
World,OWID_WRL,1994-04-15,1741.93,1738.5483
World,OWID_WRL,1994-05-15,1740.64,1739.0183
World,OWID_WRL,1994-06-15,1736.9,1739.5192
World,OWID_WRL,1994-07-15,1732.39,1739.8842
World,OWID_WRL,1994-08-15,1734.06,1740.1276
World,OWID_WRL,1994-09-15,1742.89,1740.4976
World,OWID_WRL,1994-10-15,1749.76,1741.0292
World,OWID_WRL,1994-11-15,1751.23,1741.53
World,OWID_WRL,1994-12-15,1751.61,1742.14
World,OWID_WRL,1995-01-15,1751.12,1742.9484
World,OWID_WRL,1995-02-15,1749.51,1743.6666
World,OWID_WRL,1995-03-15,1749,1744.2533
World,OWID_WRL,1995-04-15,1749.42,1744.8776
World,OWID_WRL,1995-05-15,1747.65,1745.4617
World,OWID_WRL,1995-06-15,1742.84,1745.9567
World,OWID_WRL,1995-07-15,1740.16,1746.6041
World,OWID_WRL,1995-08-15,1743.58,1747.3975
World,OWID_WRL,1995-09-15,1749.77,1747.9708
World,OWID_WRL,1995-10-15,1754.34,1748.3525
World,OWID_WRL,1995-11-15,1755.51,1748.7092
World,OWID_WRL,1995-12-15,1753.86,1748.8967
World,OWID_WRL,1996-01-15,1752.23,1748.9891
World,OWID_WRL,1996-02-15,1752.75,1749.2592
World,OWID_WRL,1996-03-15,1752.22,1749.5275
World,OWID_WRL,1996-04-15,1749.59,1749.5416
World,OWID_WRL,1996-05-15,1748.3,1749.5958
World,OWID_WRL,1996-06-15,1746.05,1749.8633
World,OWID_WRL,1996-07-15,1742.05,1750.0209
World,OWID_WRL,1996-08-15,1744.29,1750.08
World,OWID_WRL,1996-09-15,1752.64,1750.3192
World,OWID_WRL,1996-10-15,1758.89,1750.6984
World,OWID_WRL,1996-11-15,1760.04,1751.0758
World,OWID_WRL,1996-12-15,1756.92,1751.3308
World,OWID_WRL,1997-01-15,1753.38,1751.4266
World,OWID_WRL,1997-02-15,1753.86,1751.5192
World,OWID_WRL,1997-03-15,1755.68,1751.8075
World,OWID_WRL,1997-04-15,1755.53,1752.3025
World,OWID_WRL,1997-05-15,1753.8,1752.7609
World,OWID_WRL,1997-06-15,1750.09,1753.0975
World,OWID_WRL,1997-07-15,1746.04,1753.43
World,OWID_WRL,1997-08-15,1747.75,1753.7184
World,OWID_WRL,1997-09-15,1754.98,1753.9133
World,OWID_WRL,1997-10-15,1760.28,1754.0292
World,OWID_WRL,1997-11-15,1761.71,1754.1683
World,OWID_WRL,1997-12-15,1761.89,1754.5825
World,OWID_WRL,1998-01-15,1761.44,1755.2542
World,OWID_WRL,1998-02-15,1761.44,1755.8859
World,OWID_WRL,1998-03-15,1762.95,1756.4917
World,OWID_WRL,1998-04-15,1764.69,1757.255
World,OWID_WRL,1998-05-15,1764.24,1758.125
World,OWID_WRL,1998-06-15,1760.33,1758.9783
World,OWID_WRL,1998-07-15,1756.15,1759.8208
World,OWID_WRL,1998-08-15,1760.19,1760.8574
World,OWID_WRL,1998-09-15,1770.67,1762.165
World,OWID_WRL,1998-10-15,1776.23,1763.4941
World,OWID_WRL,1998-11-15,1775.48,1764.6416
World,OWID_WRL,1998-12-15,1774.04,1765.6542
World,OWID_WRL,1999-01-15,1773.79,1766.6833
World,OWID_WRL,1999-02-15,1773.9,1767.7217
World,OWID_WRL,1999-03-15,1774.58,1768.6908
World,OWID_WRL,1999-04-15,1774.95,1769.5458
World,OWID_WRL,1999-05-15,1772.66,1770.2476
World,OWID_WRL,1999-06-15,1767.35,1770.8325
World,OWID_WRL,1999-07-15,1762.94,1771.3983
World,OWID_WRL,1999-08-15,1764.62,1771.7675
World,OWID_WRL,1999-09-15,1771.01,1771.7958
World,OWID_WRL,1999-10-15,1776.61,1771.8275
World,OWID_WRL,1999-11-15,1778.55,1772.0834
World,OWID_WRL,1999-12-15,1777.24,1772.35
World,OWID_WRL,2000-01-15,1775.53,1772.495
World,OWID_WRL,2000-02-15,1775.45,1772.6241
World,OWID_WRL,2000-03-15,1776.5,1772.7842
World,OWID_WRL,2000-04-15,1777.2,1772.9717
World,OWID_WRL,2000-05-15,1774.57,1773.1309
World,OWID_WRL,2000-06-15,1768.14,1773.1967
World,OWID_WRL,2000-07-15,1763.46,1773.24
World,OWID_WRL,2000-08-15,1765.45,1773.3092
World,OWID_WRL,2000-09-15,1772.05,1773.3959
World,OWID_WRL,2000-10-15,1777.09,1773.4358
World,OWID_WRL,2000-11-15,1777.73,1773.3674
World,OWID_WRL,2000-12-15,1775.32,1773.2075
World,OWID_WRL,2001-01-15,1772.87,1772.9858
World,OWID_WRL,2001-02-15,1772.53,1772.7424
World,OWID_WRL,2001-03-15,1773.66,1772.5059
World,OWID_WRL,2001-04-15,1773.87,1772.2283
World,OWID_WRL,2001-05-15,1770.87,1771.92
World,OWID_WRL,2001-06-15,1766.11,1771.7509
World,OWID_WRL,2001-07-15,1763.02,1771.7141
World,OWID_WRL,2001-08-15,1764.51,1771.6359
World,OWID_WRL,2001-09-15,1770.45,1771.5024
World,OWID_WRL,2001-10-15,1775.48,1771.3683
World,OWID_WRL,2001-11-15,1776.57,1771.2716
World,OWID_WRL,2001-12-15,1775.93,1771.3225
World,OWID_WRL,2002-01-15,1774.09,1771.4242
World,OWID_WRL,2002-02-15,1772.82,1771.4484
World,OWID_WRL,2002-03-15,1773.41,1771.4275
World,OWID_WRL,2002-04-15,1772.74,1771.3334
World,OWID_WRL,2002-05-15,1770.3,1771.2859
World,OWID_WRL,2002-06-15,1766.91,1771.3525
World,OWID_WRL,2002-07-15,1764.21,1771.4517
World,OWID_WRL,2002-08-15,1766.85,1771.6466
World,OWID_WRL,2002-09-15,1773.67,1771.915
World,OWID_WRL,2002-10-15,1778.25,1772.1459
World,OWID_WRL,2002-11-15,1779.5,1772.39
World,OWID_WRL,2002-12-15,1779.65,1772.7
World,OWID_WRL,2003-01-15,1777.53,1772.9867
World,OWID_WRL,2003-02-15,1774.83,1773.1542
World,OWID_WRL,2003-03-15,1774.85,1773.2742
World,OWID_WRL,2003-04-15,1775.8,1773.5292
World,OWID_WRL,2003-05-15,1774.45,1773.875
World,OWID_WRL,2003-06-15,1771.69,1774.2733
World,OWID_WRL,2003-07-15,1770.7,1774.8142
World,OWID_WRL,2003-08-15,1774.3,1775.435
World,OWID_WRL,2003-09-15,1780.56,1776.0092
World,OWID_WRL,2003-10-15,1784.68,1776.545
World,OWID_WRL,2003-11-15,1785.28,1777.0266
World,OWID_WRL,2003-12-15,1783.53,1777.35
World,OWID_WRL,2004-01-15,1780.68,1777.6125
World,OWID_WRL,2004-02-15,1779.67,1778.0159
World,OWID_WRL,2004-03-15,1780.95,1778.5242
World,OWID_WRL,2004-04-15,1780.86,1778.9458
World,OWID_WRL,2004-05-15,1777.62,1779.21
World,OWID_WRL,2004-06-15,1772.26,1779.2576
World,OWID_WRL,2004-07-15,1768.03,1779.035
World,OWID_WRL,2004-08-15,1769.8,1778.66
World,OWID_WRL,2004-09-15,1775.54,1778.2417
World,OWID_WRL,2004-10-15,1779.76,1777.8317
World,OWID_WRL,2004-11-15,1780.5,1777.4333
World,OWID_WRL,2004-12-15,1778.26,1776.9941
World,OWID_WRL,2005-01-15,1776.14,1776.6158
World,OWID_WRL,2005-02-15,1775.75,1776.2892
World,OWID_WRL,2005-03-15,1775.59,1775.8425
World,OWID_WRL,2005-04-15,1774.78,1775.3358
World,OWID_WRL,2005-05-15,1772.51,1774.91
World,OWID_WRL,2005-06-15,1768.81,1774.6226
World,OWID_WRL,2005-07-15,1766.4,1774.4867
World,OWID_WRL,2005-08-15,1768.16,1774.35
World,OWID_WRL,2005-09-15,1773.24,1774.1583
World,OWID_WRL,2005-10-15,1778.58,1774.06
World,OWID_WRL,2005-11-15,1781.25,1774.1226
World,OWID_WRL,2005-12-15,1780.26,1774.2892
World,OWID_WRL,2006-01-15,1779.51,1774.5701
World,OWID_WRL,2006-02-15,1779.48,1774.8809
World,OWID_WRL,2006-03-15,1777.4,1775.0317
World,OWID_WRL,2006-04-15,1776.11,1775.1425
World,OWID_WRL,2006-05-15,1774.91,1775.3425
World,OWID_WRL,2006-06-15,1769.24,1775.3783
World,OWID_WRL,2006-07-15,1764.16,1775.1917
World,OWID_WRL,2006-08-15,1767.24,1775.115
World,OWID_WRL,2006-09-15,1774.59,1775.2275
World,OWID_WRL,2006-10-15,1778.24,1775.1992
World,OWID_WRL,2006-11-15,1779.04,1775.015
World,OWID_WRL,2006-12-15,1779.92,1774.9867
World,OWID_WRL,2007-01-15,1779.2,1774.9608
World,OWID_WRL,2007-02-15,1778.6,1774.8875
World,OWID_WRL,2007-03-15,1780.25,1775.125
World,OWID_WRL,2007-04-15,1781.11,1775.5416
World,OWID_WRL,2007-05-15,1779.48,1775.9225
World,OWID_WRL,2007-06-15,1775.62,1776.4541
World,OWID_WRL,2007-07-15,1772.58,1777.1558
World,OWID_WRL,2007-08-15,1777.19,1777.985
World,OWID_WRL,2007-09-15,1785.88,1778.9258
World,OWID_WRL,2007-10-15,1789.85,1779.8933
World,OWID_WRL,2007-11-15,1789.54,1780.7683
World,OWID_WRL,2007-12-15,1788.19,1781.4575
World,OWID_WRL,2008-01-15,1786.69,1782.0817
World,OWID_WRL,2008-02-15,1785.81,1782.6825
World,OWID_WRL,2008-03-15,1786.18,1783.1766
World,OWID_WRL,2008-04-15,1786.88,1783.6575
World,OWID_WRL,2008-05-15,1785.2,1784.1342
World,OWID_WRL,2008-06-15,1780.47,1784.5383
World,OWID_WRL,2008-07-15,1777.64,1784.96
World,OWID_WRL,2008-08-15,1781.05,1785.2816
World,OWID_WRL,2008-09-15,1787.66,1785.43
World,OWID_WRL,2008-10-15,1793.67,1785.7483
World,OWID_WRL,2008-11-15,1797.31,1786.3959
World,OWID_WRL,2008-12-15,1796.6,1787.0967
World,OWID_WRL,2009-01-15,1795.07,1787.795
World,OWID_WRL,2009-02-15,1795.6,1788.6108
World,OWID_WRL,2009-03-15,1795.95,1789.425
World,OWID_WRL,2009-04-15,1795.54,1790.1467
World,OWID_WRL,2009-05-15,1792.39,1790.7458
World,OWID_WRL,2009-06-15,1786.95,1791.2859
World,OWID_WRL,2009-07-15,1785.02,1791.9009
World,OWID_WRL,2009-08-15,1788.91,1792.5558
World,OWID_WRL,2009-09-15,1794.83,1793.1533
World,OWID_WRL,2009-10-15,1798,1793.5142
World,OWID_WRL,2009-11-15,1797.87,1793.5608
World,OWID_WRL,2009-12-15,1796.67,1793.5667
World,OWID_WRL,2010-01-15,1797.11,1793.7367
World,OWID_WRL,2010-02-15,1798.78,1794.0017
World,OWID_WRL,2010-03-15,1799.47,1794.295
World,OWID_WRL,2010-04-15,1799.58,1794.6317
World,OWID_WRL,2010-05-15,1797.62,1795.0675
World,OWID_WRL,2010-06-15,1792.48,1795.5283
World,OWID_WRL,2010-07-15,1789.43,1795.8959
World,OWID_WRL,2010-08-15,1794.1,1796.3284
World,OWID_WRL,2010-09-15,1801.87,1796.915
World,OWID_WRL,2010-10-15,1806.6,1797.6317
World,OWID_WRL,2010-11-15,1807,1798.3925
World,OWID_WRL,2010-12-15,1803.28,1798.9434
World,OWID_WRL,2011-01-15,1800.03,1799.1866
World,OWID_WRL,2011-02-15,1800.04,1799.2916
World,OWID_WRL,2011-03-15,1801.03,1799.4216
World,OWID_WRL,2011-04-15,1802.81,1799.6908
World,OWID_WRL,2011-05-15,1803.15,1800.1517
World,OWID_WRL,2011-06-15,1799.09,1800.7025
World,OWID_WRL,2011-07-15,1796.14,1801.2617
World,OWID_WRL,2011-08-15,1799.05,1801.6742
World,OWID_WRL,2011-09-15,1804.24,1801.8717
World,OWID_WRL,2011-10-15,1809.69,1802.1292
World,OWID_WRL,2011-11-15,1812.35,1802.575
World,OWID_WRL,2011-12-15,1810.03,1803.1375
World,OWID_WRL,2012-01-15,1807.4,1803.7517
World,OWID_WRL,2012-02-15,1808.37,1804.4458
World,OWID_WRL,2012-03-15,1810.07,1805.1992
World,OWID_WRL,2012-04-15,1808.48,1805.6716
World,OWID_WRL,2012-05-15,1804.77,1805.8066
World,OWID_WRL,2012-06-15,1801.01,1805.9667
World,OWID_WRL,2012-07-15,1799.37,1806.2358
World,OWID_WRL,2012-08-15,1803.3,1806.59
World,OWID_WRL,2012-09-15,1810.16,1807.0834
World,OWID_WRL,2012-10-15,1814.84,1807.5125
World,OWID_WRL,2012-11-15,1815.95,1807.8125
World,OWID_WRL,2012-12-15,1814.59,1808.1925
World,OWID_WRL,2013-01-15,1814.05,1808.7467
World,OWID_WRL,2013-02-15,1814.15,1809.2283
World,OWID_WRL,2013-03-15,1813.26,1809.4941
World,OWID_WRL,2013-04-15,1812.82,1809.8558
World,OWID_WRL,2013-05-15,1811.94,1810.4534
World,OWID_WRL,2013-06-15,1808.62,1811.0875
World,OWID_WRL,2013-07-15,1805.99,1811.6392
World,OWID_WRL,2013-08-15,1808.53,1812.075
World,OWID_WRL,2013-09-15,1814.26,1812.4166
World,OWID_WRL,2013-10-15,1818.51,1812.7225
World,OWID_WRL,2013-11-15,1820.34,1813.0884
World,OWID_WRL,2013-12-15,1819.35,1813.485
World,OWID_WRL,2014-01-15,1816.8,1813.7141
World,OWID_WRL,2014-02-15,1816.32,1813.895
World,OWID_WRL,2014-03-15,1818.09,1814.2975
World,OWID_WRL,2014-04-15,1820.87,1814.9683
World,OWID_WRL,2014-05-15,1821.88,1815.7966
World,OWID_WRL,2014-06-15,1818.31,1816.6041
World,OWID_WRL,2014-07-15,1815.52,1817.3983
World,OWID_WRL,2014-08-15,1819.69,1818.3284
World,OWID_WRL,2014-09-15,1826.82,1819.375
World,OWID_WRL,2014-10-15,1831.18,1820.4308
World,OWID_WRL,2014-11-15,1833.02,1821.4875
World,OWID_WRL,2014-12-15,1833.54,1822.67
World,OWID_WRL,2015-01-15,1833.08,1824.0266
World,OWID_WRL,2015-02-15,1832.93,1825.4109
World,OWID_WRL,2015-03-15,1833.22,1826.6716
World,OWID_WRL,2015-04-15,1833.17,1827.6967
World,OWID_WRL,2015-05-15,1831.54,1828.5017
World,OWID_WRL,2015-06-15,1827.14,1829.2375
World,OWID_WRL,2015-07-15,1824.6,1829.9941
World,OWID_WRL,2015-08-15,1829,1830.77
World,OWID_WRL,2015-09-15,1836.24,1831.555
World,OWID_WRL,2015-10-15,1841.5,1832.415
World,OWID_WRL,2015-11-15,1844.61,1833.3809
World,OWID_WRL,2015-12-15,1844.77,1834.3167
World,OWID_WRL,2016-01-15,1842.43,1835.0958
World,OWID_WRL,2016-02-15,1841.65,1835.8225
World,OWID_WRL,2016-03-15,1843.02,1836.6392
World,OWID_WRL,2016-04-15,1843.74,1837.52
World,OWID_WRL,2016-05-15,1842.13,1838.4025
World,OWID_WRL,2016-06-15,1837.84,1839.2942
World,OWID_WRL,2016-07-15,1834.16,1840.0908
World,OWID_WRL,2016-08-15,1836.69,1840.7317
World,OWID_WRL,2016-09-15,1844.18,1841.3933
World,OWID_WRL,2016-10-15,1849.87,1842.0908
World,OWID_WRL,2016-11-15,1851.44,1842.66
World,OWID_WRL,2016-12-15,1851.05,1843.1833
World,OWID_WRL,2017-01-15,1849.68,1843.7875
World,OWID_WRL,2017-02-15,1848.4,1844.35
World,OWID_WRL,2017-03-15,1848.19,1844.7809
World,OWID_WRL,2017-04-15,1848.53,1845.18
World,OWID_WRL,2017-05-15,1847.14,1845.5975
World,OWID_WRL,2017-06-15,1842.94,1846.0225
World,OWID_WRL,2017-07-15,1840.39,1846.5416
World,OWID_WRL,2017-08-15,1844.64,1847.2042
World,OWID_WRL,2017-09-15,1852.75,1847.9183
World,OWID_WRL,2017-10-15,1858.01,1848.5967
World,OWID_WRL,2017-11-15,1858.52,1849.1866
World,OWID_WRL,2017-12-15,1856.51,1849.6417
World,OWID_WRL,2018-01-15,1854.43,1850.0375
World,OWID_WRL,2018-02-15,1854.98,1850.5858
World,OWID_WRL,2018-03-15,1856.88,1851.31
World,OWID_WRL,2018-04-15,1856.69,1851.99
World,OWID_WRL,2018-05-15,1854.82,1852.63
World,OWID_WRL,2018-06-15,1852.03,1853.3875
World,OWID_WRL,2018-07-15,1849.09,1854.1125
World,OWID_WRL,2018-08-15,1851.92,1854.7191
World,OWID_WRL,2018-09-15,1860.48,1855.3633
World,OWID_WRL,2018-10-15,1865.76,1856.0092
World,OWID_WRL,2018-11-15,1866.27,1856.655
World,OWID_WRL,2018-12-15,1866.03,1857.4484
World,OWID_WRL,2019-01-15,1864.98,1858.3275
World,OWID_WRL,2019-02-15,1865.03,1859.165
World,OWID_WRL,2019-03-15,1866.33,1859.9525
World,OWID_WRL,2019-04-15,1865.31,1860.6709
World,OWID_WRL,2019-05-15,1861.98,1861.2675
World,OWID_WRL,2019-06-15,1858.79,1861.8308
World,OWID_WRL,2019-07-15,1858.23,1862.5925
World,OWID_WRL,2019-08-15,1862.9,1863.5076
World,OWID_WRL,2019-09-15,1870.78,1864.3658
World,OWID_WRL,2019-10-15,1875.42,1865.1709
World,OWID_WRL,2019-11-15,1875.61,1865.9492
World,OWID_WRL,2019-12-15,1874.62,1866.665
World,OWID_WRL,2020-01-15,1872.9,1867.325
World,OWID_WRL,2020-02-15,1872.29,1867.93
World,OWID_WRL,2020-03-15,1874.4,1868.6025
World,OWID_WRL,2020-04-15,1875.79,1869.4758
World,OWID_WRL,2020-05-15,1874.41,1870.5117
World,OWID_WRL,2020-06-15,1871.99,1871.6117
World,OWID_WRL,2020-07-15,1871.47,1872.715
World,OWID_WRL,2020-08-15,1876.39,1873.8392
World,OWID_WRL,2020-09-15,1884.56,1874.9875
World,OWID_WRL,2020-10-15,1889.96,1876.1992
World,OWID_WRL,2020-11-15,1891.44,1877.5183
World,OWID_WRL,2020-12-15,1890.96,1878.88
World,OWID_WRL,2021-01-15,1888.59,1880.1875
World,OWID_WRL,2021-02-15,1886.65,1881.3842
World,OWID_WRL,2021-03-15,1888.01,1882.5183
World,OWID_WRL,2021-04-15,1890.78,1883.7675
World,OWID_WRL,2021-05-15,1891.27,1885.1725
World,OWID_WRL,2021-06-15,1888.09,1886.5142
World,OWID_WRL,2021-07-15,1885.98,1887.7234
World,OWID_WRL,2021-08-15,1892.31,1889.05
World,OWID_WRL,2021-09-15,1902.44,1890.54
World,OWID_WRL,2021-10-15,1907.9,1892.035
World,OWID_WRL,2021-11-15,1909.2,1893.515
World,OWID_WRL,2021-12-15,1907.95,1894.9308
World,OWID_WRL,2022-01-15,1906.31,1896.4075
World,OWID_WRL,2022-02-15,1906.41,1898.0542
World,OWID_WRL,2022-03-15,1907.79,1899.7025
World,OWID_WRL,2022-04-15,1908.83,1901.2067
World,OWID_WRL,2022-05-15,1907.48,1902.5575
World,OWID_WRL,2022-06-15,1904.85,1903.9541
World,OWID_WRL,2022-07-15,1904.01,1905.4567
World,OWID_WRL,2022-08-15,1908.32,1906.7908
World,OWID_WRL,2022-09-15,1915.06,1907.8425
World,OWID_WRL,2022-10-15,1919.43,1908.8033
World,OWID_WRL,2022-11-15,1922.09,1909.8774
World,OWID_WRL,2022-12-15,1921.99,1911.0475
World,OWID_WRL,2023-01-15,1919.97,1912.1858
World,OWID_WRL,2023-02-15,1918.93,1913.2291
World,OWID_WRL,2023-03-15,1918.75,1914.1425
World,OWID_WRL,2023-04-15,1920.06,1915.0784
World,OWID_WRL,2023-05-15,1919.72,1916.0984
World,OWID_WRL,2023-06-15,1915.46,1916.9825
World,OWID_WRL,2023-07-15,1913.18,1917.7467
World,OWID_WRL,2023-08-15,1917.09,1918.4775
World,OWID_WRL,2023-09-15,1924.92,1919.2992
World,OWID_WRL,2023-10-15,1930.59,1920.2291
World,OWID_WRL,2023-11-15,1931.75,1921.0342
World,OWID_WRL,2023-12-15,1931.12,1921.795
World,OWID_WRL,2024-01-15,1928.5,1922.5059
World,OWID_WRL,2024-02-15,1926.47,1923.1342
World,OWID_WRL,2024-03-15,1928.12,1923.915
World,OWID_WRL,2024-04-15,1929.45,1924.6975
World,OWID_WRL,2024-05-15,1926.04,1925.2241
World,OWID_WRL,2024-06-15,1921.35,1925.715
World,OWID_WRL,2024-07-15,1920.59,1926.3325
World,OWID_WRL,2024-08-15,1926.11,1927.0841
World,OWID_WRL,2024-09-15,1935.94,1928.0024
World,OWID_WRL,2024-10-15,1941.81,1928.9375
World,OWID_WRL,2024-11-15,1940.75,1929.6875
